week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details,gender
2024-05-05,Films (Non-English),2,City Hunter,,11000000,1.7333,6300000.0,2,False,,"Action, Comedy, Crime"
2024-05-05,Films (Non-English),3,Laapataa Ladies,,11600000,2.0667,5600000.0,2,False,,"Comedy, Drama"
2024-05-05,Films (Non-English),4,Shaitaan,,6900000,2.1333,3200000.0,1,False,,"Horror, Thriller"
2024-05-05,Films (Non-English),5,The Tearsmith,,3400000,1.75,1900000.0,5,False,,"Drama, Fantasy, Romance"
2024-05-05,Films (Non-English),6,Jujutsu Kaisen 0: The Movie,,2500000,1.75,1400000.0,1,False,,"Animation, Action, Fantasy"
2024-05-05,Films (Non-English),7,The Doomsday Cult of Antares de la Luz,,2400000,1.6833,1400000.0,2,False,,Documentary
2024-05-05,Films (Non-English),8,"Love, Divided",,2200000,1.6333,1300000.0,4,False,,"Comedy, Romance"
2024-05-05,Films (Non-English),9,Down the Rabbit Hole,,2300000,1.7167,1300000.0,1,False,,Documentary
2024-05-05,Films (Non-English),10,Tillu Square,,2500000,2.0167,1200000.0,1,False,,"Comedy, Drama"
2024-05-05,TV (English),1,Baby Reindeer,Baby Reindeer: Limited Series,73600000,3.9667,18600000.0,4,False,,"Biography, Drama"
2024-05-05,TV (English),2,A Man in Full,A Man in Full: Limited Series,28000000,4.4667,6300000.0,1,False,,Drama
2024-05-05,TV (English),3,Dead Boy Detectives,Dead Boy Detectives: Season 1,34100000,7.2667,4700000.0,2,False,,"Action, Adventure, Comedy"
2024-05-05,TV (English),4,Katt Williams: Woke Foke,,4100000,1.0333,4000000.0,1,False,,Comedy
2024-05-05,TV (English),5,Selling The OC,Selling The OC: Season 3,10300000,4.6333,2200000.0,1,False,,Reality-TV
2024-05-05,TV (English),6,The Roast of Tom Brady,,6200000,3.0667,2000000.0,1,False,,Comedy
2024-05-05,TV (English),7,The Gentlemen,The Gentlemen: Season 1,11700000,6.6833,1800000.0,9,False,,"Action, Crime"
2024-05-05,TV (English),8,CoComelon Lane,CoComelon Lane: Season 2,3400000,2.1,1600000.0,2,False,,"Animation, Short, Comedy"
2024-05-05,TV (English),9,3 Body Problem,3 Body Problem: Season 1,11400000,7.4,1500000.0,7,False,,"Adventure, Drama, Fantasy"
2024-05-05,TV (English),10,Unlocked: A Jail Experiment,Unlocked: A Jail Experiment: Season 1,6800000,5.5167,1200000.0,4,False,,"Documentary, Reality-TV"
2024-05-05,TV (Non-English),1,The Asunta Case,The Asunta Case: Limited Series,64700000,5.4167,11900000.0,2,False,,"Biography, Crime, Drama"
2024-05-05,TV (Non-English),2,Heeramandi: The Diamond Bazaar,Heeramandi: The Diamond Bazaar: Season 1,33000000,7.3167,4500000.0,1,False,,"Drama, History, Romance"
