semana,categoria,rank_semanal,titulo,horas_semanais_visualizadas,semanas_acumuladas_top_10,lançamento_escalonado,genero,ano,mes
2024-05-05,Films (Non-English),9,Down the Rabbit Hole,2300000,1,False,Documentary,2024,maio
2024-05-05,Films (Non-English),10,Tillu Square,2500000,1,False,"Comedy, Drama",2024,maio
2024-05-05,TV (English),1,Baby Reindeer,73600000,4,False,"Biography, Drama",2024,maio
2024-05-05,TV (English),2,A Man in Full,28000000,1,False,Drama,2024,maio
2024-05-05,TV (English),3,Dead Boy Detectives,34100000,2,False,"Action, Adventure, Comedy",2024,maio
2024-05-05,TV (English),4,Katt Williams: Woke Foke,4100000,1,False,Comedy,2024,maio
2024-05-05,TV (English),5,Selling The OC,10300000,1,False,Reality-TV,2024,maio
2024-05-05,TV (English),6,The Roast of Tom Brady,6200000,1,False,Comedy,2024,maio
2024-05-05,TV (English),7,The Gentlemen,11700000,9,False,"Action, Crime",2024,maio
2024-05-05,TV (English),8,CoComelon Lane,3400000,2,False,"Animation, Short, Comedy",2024,maio
2024-05-05,TV (English),9,3 Body Problem,11400000,7,False,"Adventure, Drama, Fantasy",2024,maio
2024-05-05,TV (English),10,Unlocked: A Jail Experiment,6800000,4,False,"Documentary, Reality-TV",2024,maio
2024-05-05,TV (Non-English),1,The Asunta Case,64700000,2,False,"Biography, Crime, Drama",2024,maio
2024-05-05,TV (Non-English),2,Heeramandi: The Diamond Bazaar,33000000,1,False,"Drama, History, Romance",2024,maio
2024-05-05,TV (Non-English),3,Queen of Tears,87500000,9,True,"Drama, Family, Romance",2024,maio
2024-05-05,TV (Non-English),4,Deliver Me,8400000,2,False,Reality-TV,2024,maio
2024-05-05,TV (Non-English),5,Goodbye Earth,20200000,2,False,"Drama, Sci-Fi, Thriller",2024,maio
2024-05-05,TV (Non-English),6,Anthracite,7000000,4,False,Drama,2024,maio
2024-05-05,TV (Non-English),7,Fiasco,6000000,1,False,Documentary,2024,maio
2024-05-05,TV (Non-English),8,Frankly Speaking,2500000,1,False,"Short, Comedy",2024,maio
2024-05-05,TV (Non-English),9,Brigands: The Quest for Gold,5600000,2,False,"Action, Adventure, Drama",2024,maio
2024-05-05,TV (Non-English),10,The Great Indian Kapil Show,5400000,5,False,"Comedy, Talk-Show",2024,maio
2024-04-28,Films (English),1,Rebel Moon — Part Two: The Scargiver,38800000,2,False,"Action, Adventure, Drama",2024,abril
2024-04-28,Films (English),2,Anyone But You,18300000,1,False,"Comedy, Romance",2024,abril
2024-04-28,Films (English),3,Woody Woodpecker Goes to Camp,15300000,3,False,"Animation, Adventure, Comedy",2024,abril
2024-04-28,Films (English),4,Rebel Moon — Part One: A Child of Fire,13700000,6,False,"Action, Adventure, Drama",2024,abril
2024-04-28,Films (English),5,What Jennifer Did,7500000,3,False,Documentary,2024,abril
2024-04-28,Films (English),6,Hack Your Health: The Secrets of Your Gut,5900000,1,False,Documentary,2024,abril
2024-04-28,Films (English),7,Smurfs: The Lost Village,5600000,1,False,"Animation, Adventure, Comedy",2024,abril
2024-04-28,Films (English),8,Lifemark,6100000,1,False,"Biography, Drama",2024,abril
2024-04-28,Films (English),9,Hotel Mumbai,5700000,1,False,"Action, Drama, History",2024,abril
2024-04-28,Films (English),10,Glass,5800000,4,False,"Drama, Horror, Sci-Fi",2024,abril
2024-04-28,Films (Non-English),1,City Hunter,9100000,1,False,"Action, Comedy, Crime",2024,abril
2024-04-28,Films (Non-English),2,"Love, Divided",6200000,3,False,"Comedy, Romance",2024,abril
2024-04-28,Films (Non-English),3,Article 370,9700000,2,False,"Action, Drama, Thriller",2024,abril
2024-04-28,Films (Non-English),4,The Tearsmith,5400000,4,False,"Drama, Fantasy, Romance",2024,abril
2024-04-28,Films (Non-English),5,Laapataa Ladies,4500000,1,False,"Comedy, Drama",2024,abril
2024-04-28,Films (Non-English),6,The Wages of Fear,2800000,5,False,"Adventure, Drama, Thriller",2024,abril
2024-04-28,Films (Non-English),7,A Journey,2400000,2,False,"Adventure, Family, Fantasy",2024,abril
2024-04-28,Films (Non-English),8,The Doomsday Cult of Antares de la Luz,2000000,1,False,Documentary,2024,abril
2024-04-28,Films (Non-English),9,Stolen,2100000,3,False,"Action, Crime, Thriller",2024,abril
2024-04-28,Films (Non-English),10,All India Rank,1800000,1,False,"Comedy, Drama",2024,abril
2024-04-28,TV (English),1,Baby Reindeer,87400000,3,False,"Biography, Drama",2024,abril
2024-04-28,TV (English),2,Dead Boy Detectives,22200000,1,False,"Action, Adventure, Comedy",2024,abril
2024-04-28,TV (English),3,Unlocked: A Jail Experiment,13600000,3,False,"Documentary, Reality-TV",2024,abril
2024-04-28,TV (English),4,CoComelon Lane,4800000,1,False,"Animation, Short, Comedy",2024,abril
2024-04-28,TV (English),5,The Gentlemen,15100000,8,False,"Action, Crime",2024,abril
2024-04-28,TV (English),6,3 Body Problem,16000000,6,False,"Adventure, Drama, Fantasy",2024,abril
2024-04-28,TV (English),7,Our Living World,6400000,2,False,Documentary,2024,abril
2024-04-28,TV (English),8,The Circle,12200000,2,False,"Drama, Mystery, Sci-Fi",2024,abril
